Surface,Round,Winner,Loser,WRank,LRank,WPts,LPts,Year
Hard,2nd Round,Siniakova K.,Halep S.,52,4,1123,5228,2017
Hard,Quarterfinals,Fett J.,Cepede Royg V.,340,129,116,472,2017
Hard,Quarterfinals,Tsurenko L.,Rogers S.,61,57,1003,1031,2017
Hard,1st Round,Gavrilova D.,Vekic D.,25,97,1665,658,2017
Hard,1st Round,Crawford S.,Davis L.,162,45,348,1218,2017
Hard,1st Round,Lepchenko V.,Bertens K.,88,22,738,1956,2017
Hard,1st Round,Rogers S.,Halep S.,52,4,1089,5073,2017
Hard,1st Round,Boserup J.,Schiavone F.,119,100,498,659,2017
Hard,1st Round,Cibulkova D.,Allertova D.,6,90,4865,718,2017
Hard,1st Round,Watson H.,Stosur S.,81,21,765,2016,2017
Hard,1st Round,Minella M.,Linette M.,105,96,631,681,2017
Hard,1st Round,Bacsinszky T.,Giorgi C.,15,74,2347,819,2017
Hard,1st Round,Petkovic A.,Day K.,56,197,1045,281,2017
Hard,1st Round,Radwanska A.,Pironkova T.,3,64,5625,919,2017
Hard,2nd Round,Muguruza G.,Crawford S.,7,162,4420,348,2017
Hard,2nd Round,Konta J.,Osaka N.,9,48,4055,1168,2017
Hard,4th Round,Williams V.,Barthel M.,17,181,2240,312,2017
Hard,The Final,Williams S.,Williams V.,2,17,7080,2240,2017
Hard,2nd Round,Halep S.,Konjuh A.,4,39,5073,1351,2017
Hard,2nd Round,Vikhlyantseva N.,Kasatkina D.,115,27,567,1580,2017
Hard,Quarterfinals,Cibulkova D.,Vesnina E.,5,16,4985,2357,2017
Hard,1st Round,Zhu L.,Linette M.,122,95,491,681,2017
Hard,Quarterfinals,Peng S.,Stosur S.,71,23,832,2016,2017
Hard,Quarterfinals,Minella M.,Zhu L.,93,122,693,491,2017
Hard,2nd Round,Stosur S.,Strycova B.,21,17,2075,2295,2017
Hard,The Final,Pliskova Ka.,Wozniacki C.,3,18,5270,2295,2017
Hard,1st Round,Beck A.,Cepelova J.,66,98,890,628,2017
Hard,1st Round,Witthoeft C.,Cirstea S.,83,67,754,885,2017
Hard,Quarterfinals,Safarova L.,Sasnovich A.,47,123,1177,471,2017
Hard,1st Round,Puig M.,Shvedova Y.,42,49,1285,1145,2017
Hard,1st Round,Peng S.,Tsurenko L.,57,52,1011,1095,2017
Hard,1st Round,Davis L.,Minella M.,46,77,1210,773,2017
Hard,2nd Round,Vesnina E.,Doi M.,16,48,2455,1150,2017
Hard,2nd Round,Mladenovic K.,Pliskova Ka.,31,3,1535,5640,2017
Hard,3rd Round,Davis L.,Makarova E.,46,37,1210,1377,2017
Clay,1st Round,Mchale C.,Ferro F.,45,243,1245,197,2017
Clay,2nd Round,Mladenovic K.,Watson H.,30,73,1580,825,2017
Clay,Quarterfinals,Tsurenko L.,Ostapenko J.,50,71,1095,842,2017
Clay,Quarterfinals,Lucic-Baroni M.,Parmentier P.,34,59,1509,941,2017
Clay,Semifinals,Mladenovic K.,Mchale C.,30,45,1580,1245,2017
Hard,1st Round,Ozaki R.,Buyukakcay C.,88,94,700,652,2017
Hard,1st Round,Linette M.,Zavatska K.,93,562,659,45,2017
Hard,1st Round,Kalinskaya A.,Garcia C.,173,23,322,1760,2017
Hard,2nd Round,Han X.,Kalinskaya A.,139,173,410,322,2017
Hard,1st Round,Larsson J.,Giorgi C.,57,73,970,824,2017
Hard,1st Round,Parmentier P.,Dodin O.,62,58,923,955,2017
Hard,1st Round,Lepchenko V.,Shvedova Y.,88,48,685,1145,2017
Hard,2nd Round,Bertens K.,Bencic B.,20,128,1939,467,2017
Hard,2nd Round,Wozniacki C.,Linette M.,14,80,3020,761,2017
Hard,3rd Round,Muguruza G.,Day K.,7,175,4585,321,2017
Hard,3rd Round,Cibulkova D.,Pliskova Kr.,5,54,5075,1007,2017
Hard,3rd Round,Williams V.,Safarova L.,13,40,3280,1356,2017
Hard,Quarterfinals,Kuznetsova S.,Pavlyuchenkova A.,8,21,3915,1936,2017
Hard,1st Round,Shvedova Y.,Jankovic J.,50,54,1090,990,2017
Hard,1st Round,Tig P.M.,Watson H.,95,108,636,575,2017
Hard,1st Round,Townsend T.,Anisimova A.,111,512,529,55,2017
Hard,1st Round,Tomljanovic A.,Linette M.,594,73,40,811,2017
Hard,2nd Round,Pavlyuchenkova A.,Shvedova Y.,17,50,2141,1090,2017
Hard,2nd Round,Cirstea S.,Sevastova A.,65,25,877,1725,2017
Hard,2nd Round,Rogers S.,Kasatkina D.,61,42,939,1285,2017
Hard,2nd Round,Ozaki R.,Bertens K.,87,21,682,1960,2017
Hard,3rd Round,Pliskova Ka.,Putintseva Y.,3,32,5640,1525,2017
Hard,3rd Round,Ozaki R.,Goerges J.,87,47,682,1150,2017
Hard,Semifinals,Konta J.,Williams V.,11,12,3545,3485,2017
Clay,1st Round,Petkovic A.,Arruabarrena L.,75,65,790,890,2017
Clay,2nd Round,Lucic-Baroni M.,Barthel M.,23,88,1794,691,2017
Clay,2nd Round,Begu I.,Kucova K.,33,81,1507,767,2017
Clay,3rd Round,Sevastova A.,Jabeur O.,26,131,1720,450,2017
Clay,3rd Round,Lucic-Baroni M.,Bertens K.,23,21,1794,1875,2017
Clay,Quarterfinals,Siegemund L.,Sevastova A.,37,26,1340,1720,2017
Hard,1st Round,Martincova T.,Mchale C.,160,43,350,1245,2017
Hard,1st Round,Babos T.,Kerkhove L.,30,175,1565,311,2017
Hard,1st Round,Pliskova Kr.,Vinci R.,58,35,940,1480,2017
Hard,1st Round,Suarez Navarro C.,Boserup J.,23,86,1845,698,2017
Hard,2nd Round,Pliskova Kr.,Vekic D.,58,82,940,707,2017
Hard,2nd Round,Strycova B.,Witthoeft C.,18,69,2080,827,2017
Hard,Quarterfinals,Strycova B.,Goerges J.,18,46,2080,1150,2017
Hard,Semifinals,Kontaveit A.,Sasnovich A.,99,108,622,536,2017
Clay,1st Round,Siniakova K.,Teichmann J.B.,38,208,1363,252,2017
Clay,2nd Round,Arruabarrena L.,Khromacheva I.,65,92,880,665,2017
Clay,1st Round,Cirstea S.,Ferro F.,66,208,873,252,2017
Clay,1st Round,Flipkens K.,Kucova K.,93,94,647,640,2017
Clay,Semifinals,Mertens E.,Begu I.,65,33,874,1507,2017
Clay,1st Round,Vondrousova M.,Witthoeft C.,115,71,484,832,2017
Clay,1st Round,Haddad Maia B.,Mchale C.,144,45,390,1245,2017
Clay,1st Round,Pliskova Kr.,Jankovic J.,58,56,982,995,2017
Clay,2nd Round,Giorgi C.,Wang Q.,99,57,605,984,2017
Clay,2nd Round,Ostapenko J.,Wozniacki C.,50,11,1080,3850,2017
Clay,1st Round,Lepchenko V.,Flipkens K.,73,92,815,676,2017
Clay,1st Round,Putintseva Y.,Petkovic A.,32,79,1505,765,2017
Clay,1st Round,Schiavone F.,Babos T.,100,34,602,1485,2017
Clay,2nd Round,Maria T.,Shvedova Y.,104,51,559,1076,2017
Clay,1st Round,Riske A.,Golubic V.,39,58,1350,1011,2017
Clay,1st Round,Sevastova A.,Zhang S.,22,31,1830,1510,2017
Clay,1st Round,Arruabarrena L.,Mchale C.,62,45,953,1180,2017
Clay,1st Round,Mladenovic K.,Konjuh A.,17,29,2375,1537,2017
Clay,1st Round,Wozniacki C.,Niculescu M.,11,51,3910,1101,2017
Clay,1st Round,Cirstea S.,Pavlyuchenkova A.,83,16,701,2635,2017
Clay,1st Round,Siniakova K.,Parmentier P.,37,72,1393,812,2017
Clay,1st Round,Cibulkova D.,Jankovic J.,5,59,4475,1010,2017
Clay,2nd Round,Sevastova A.,Pliskova Ka.,22,3,1830,5946,2017
Clay,2nd Round,Wang Q.,Zheng S.,64,68,934,865,2017
Clay,2nd Round,Bertens K.,Bacsinszky T.,19,28,1879,1544,2017
Clay,3rd Round,Kuznetsova S.,Wang Q.,9,64,4060,934,2017
Clay,3rd Round,Bouchard E.,Kerber A.,60,2,976,6945,2017
Clay,1st Round,Wang Q.,Vesnina E.,57,15,1059,2875,2017
Clay,1st Round,Gavrilova D.,Keys M.,33,13,1465,3162,2017
Clay,2nd Round,Gavrilova D.,Garcia C.,33,24,1465,1760,2017
Clay,3rd Round,Williams V.,Konta J.,12,6,3752,4330,2017
Clay,1st Round,Shvedova Y.,Zaja A.,51,265,1113,183,2017
Clay,2nd Round,Doi M.,Dodin O.,64,57,1000,1082,2017
Clay,The Final,Bertens K.,Krejcikova B.,19,254,2116,196,2017
Clay,1st Round,Peng S.,Cornet A.,39,43,1305,1222,2017
Clay,1st Round,Linette M.,Lapko V.,97,252,621,202,2017
Clay,Quarterfinals,Gavrilova D.,Barty A.,25,84,1630,719,2017
Clay,1st Round,Muguruza G.,Schiavone F.,5,78,4636,790,2017
Clay,1st Round,Zhang S.,Vekic D.,34,75,1490,800,2017
Clay,1st Round,Martic P.,Bondarenko K.,290,92,159,658,2017
Clay,1st Round,Keys M.,Barty A.,13,76,3163,797,2017
Clay,3rd Round,Pliskova Ka.,Witthoeft C.,3,73,6100,807,2017
Clay,4th Round,Wozniacki C.,Kuznetsova S.,12,9,3915,4310,2017
Clay,4th Round,Ostapenko J.,Stosur S.,47,22,1165,1945,2017
Clay,4th Round,Halep S.,Suarez Navarro C.,4,23,5790,1800,2017
Clay,4th Round,Garcia C.,Cornet A.,27,43,1595,1222,2017
Clay,Quarterfinals,Halep S.,Svitolina E.,4,6,5790,4575,2017
Grass,1st Round,Rus A.,Babos T.,207,35,272,1410,2017
Grass,1st Round,Flipkens K.,Brengle M.,87,82,705,758,2017
Grass,Quarterfinals,Tsurenko L.,Mladenovic K.,42,14,1223,2915,2017
Grass,1st Round,Fett J.,Barthel M.,191,50,290,1139,2017
Grass,1st Round,Ahn K.,Osaka N.,139,55,407,1105,2017
Grass,1st Round,Hsieh S.W.,Kucova K.,109,95,512,640,2017
Grass,1st Round,Sakkari M.,Cepelova J.,99,89,601,685,2017
Grass,1st Round,Konta J.,Moore T.,8,146,4330,379,2017
Grass,2nd Round,Sakkari M.,Mchale C.,99,61,601,1055,2017
Grass,1st Round,Strycova B.,Putintseva Y.,22,44,1745,1250,2017
Grass,1st Round,Barty A.,Vondrousova M.,77,78,755,745,2017
Grass,2nd Round,Giorgi C.,Svitolina E.,102,5,604,4765,2017
Grass,Quarterfinals,Safarova L.,Gavrilova D.,41,21,1295,1755,2017
Grass,2nd Round,Sevastova A.,Lepchenko V.,19,67,2075,925,2017
Grass,2nd Round,Vinci R.,Flipkens K.,33,88,1490,685,2017
Grass,Quarterfinals,Sevastova A.,Konjuh A.,19,28,2075,1580,2017
Grass,1st Round,Riske A.,Cornet A.,46,41,1215,1332,2017
Grass,1st Round,Barthel M.,Konjuh A.,50,28,1149,1615,2017
Grass,Quarterfinals,Watson H.,Strycova B.,126,23,442,1745,2017
Grass,1st Round,Haddad Maia B.,Robson L.,97,189,675,299,2017
Grass,1st Round,Strycova B.,Cepede Royg V.,23,85,1785,717,2017
Grass,1st Round,Sakkari M.,Siniakova K.,101,39,629,1343,2017
Grass,1st Round,Ostapenko J.,Sasnovich A.,13,89,3110,708,2017
Grass,1st Round,Diyas Z.,Han X.,130,122,423,456,2017
Grass,1st Round,Pironkova T.,Errani S.,131,76,421,799,2017
Grass,2nd Round,Brengle M.,Kvitova P.,95,12,678,3135,2017
Grass,2nd Round,Svitolina E.,Schiavone F.,5,72,4765,843,2017
Grass,2nd Round,Peng S.,Suarez Navarro C.,37,27,1405,1645,2017
Grass,2nd Round,Rybarikova M.,Pliskova Ka.,87,3,709,6855,2017
Grass,2nd Round,Martic P.,Allertova D.,135,107,410,582,2017
Grass,3rd Round,Wozniacki C.,Kontaveit A.,6,38,4550,1390,2017
Grass,Quarterfinals,Muguruza G.,Kuznetsova S.,15,8,3060,4310,2017
Clay,2nd Round,Maria T.,Podoroska N.,67,214,919,252,2017
Clay,2nd Round,Dulgheru A.,Alexandrova E.,294,92,160,669,2017
Clay,1st Round,Kalinskaya A.,Masarova R.,150,468,366,65,2017
Clay,1st Round,Kontaveit A.,Trevisan M.,32,153,1505,346,2017
Clay,1st Round,Korpatsch T.,Teichmann J.B.,136,186,419,291,2017
Clay,1st Round,Martincova T.,Khromacheva I.,140,122,405,493,2017
Clay,2nd Round,Korpatsch T.,Sakkari M.,136,94,419,644,2017
Clay,2nd Round,Bertens K.,Zaja A.,35,250,1386,201,2017
Clay,Quarterfinals,Kontaveit A.,Witthoeft C.,32,66,1505,924,2017
Clay,1st Round,Suarez Navarro C.,Paolini J.,30,135,1555,422,2017
Clay,1st Round,Golubic V.,Trevisan M.,106,154,580,354,2017
Clay,1st Round,Tomova V.,Goerges J.,171,40,317,1290,2017
Clay,2nd Round,Sevastova A.,Kulichkova E.,17,164,2265,331,2017
Clay,Quarterfinals,Mertens E.,Krunic A.,55,96,1086,636,2017
Clay,Semifinals,Wozniacki C.,Mertens E.,6,55,4780,1086,2017
Hard,1st Round,Konjuh A.,Erakovic M.,20,191,1785,286,2017
Hard,1st Round,Sharapova M.,Brady J.,171,80,310,727,2017
Hard,2nd Round,Keys M.,Dolehide C.,21,212,1768,262,2017
Hard,1st Round,Van Uytvanck A.,Cepelova J.,104,92,601,656,2017
Hard,1st Round,Halep S.,Stephens S.,2,957,5770,10,2017
Hard,2nd Round,Andreescu B.,Mladenovic K.,167,13,324,3155,2017
Hard,Quarterfinals,Goerges J.,Niculescu M.,40,59,1290,991,2017
Hard,3rd Round,Safarova L.,Makarova E.,41,42,1280,1275,2017
Hard,Quarterfinals,Wozniacki C.,Pliskova Ka.,6,1,4860,6751,2017
Hard,Semifinals,Wozniacki C.,Stephens S.,6,934,4860,11,2017
Hard,1st Round,Makarova E.,Strycova B.,39,23,1350,1770,2017
Hard,2nd Round,Konta J.,Bertens K.,7,27,4665,1665,2017
Hard,1st Round,Bouchard E.,Davis L.,74,34,779,1476,2017
Hard,1st Round,Suarez Navarro C.,Cepelova J.,35,89,1470,668,2017
Hard,1st Round,Rodionova Ar.,Hogenkamp R.,134,101,438,624,2017
Hard,1st Round,Rybarikova M.,Giorgi C.,32,69,1577,836,2017
Hard,1st Round,Wickmayer Y.,Tsurenko L.,129,30,471,1625,2017
Hard,1st Round,Pliskova Ka.,Linette M.,1,72,6390,800,2017
Hard,1st Round,Keys M.,Mertens E.,16,39,2343,1388,2017
Hard,1st Round,Jabeur O.,Minor B.,99,958,638,10,2017
Hard,3rd Round,Sevastova A.,Vekic D.,17,52,2295,1110,2017
Hard,Quarterfinals,Keys M.,Kanepi K.,16,418,2343,83,2017
Hard,Semifinals,Keys M.,Vandeweghe C.,16,22,2343,1994,2017
Hard,1st Round,Golubic V.,Krejcikova B.,106,125,590,496,2017
Hard,1st Round,Kenin S.,Martincova T.,112,115,533,531,2017
Hard,2nd Round,Hradecka L.,Andreescu B.,166,165,328,329,2017
Hard,Semifinals,Babos T.,Safarova L.,63,33,916,1610,2017
Hard,1st Round,Wang Q.,Hsieh S.W.,57,99,1010,627,2017
Hard,1st Round,Han X.,Eguchi M.,136,494,437,59,2017
Hard,1st Round,Riske A.,Brengle M.,50,85,1170,759,2017
Hard,2nd Round,Diyas Z.,Zhang S.,100,28,621,1685,2017
Hard,2nd Round,Wang Q.,Nara K.,57,108,1010,580,2017
Hard,Quarterfinals,Fett J.,Wang Q.,123,57,500,1010,2017
Hard,2nd Round,Krunic A.,Barthel M.,65,51,887,1123,2017
Hard,2nd Round,Kozlova K.,Han X.,83,132,768,465,2017
Hard,Quarterfinals,Wickmayer Y.,Cornet A.,116,43,531,1242,2017
Hard,The Final,Zhang S.,Krunic A.,30,65,1635,887,2017
Hard,1st Round,Rus A.,Mchale C.,143,81,396,770,2017
Hard,2nd Round,Cepede Royg V.,Ahn K.,77,124,793,493,2017
Hard,2nd Round,Strycova B.,Konta J.,25,7,1785,4520,2017
Hard,Semifinals,Pavlyuchenkova A.,Kerber A.,23,14,1945,3156,2017
Hard,1st Round,Zvonareva V.,Begu I.,308,54,151,1078,2017
Hard,1st Round,Hibino N.,Khromacheva I.,68,158,834,362,2017
Hard,Quarterfinals,Bondarenko K.,Nara K.,133,109,443,585,2017
Hard,1st Round,Kasatkina D.,Riske A.,31,51,1625,1110,2017
Hard,1st Round,Mertens E.,Osaka N.,38,61,1338,922,2017
Hard,1st Round,Wang Q.,Stephens S.,55,17,1065,2711,2017
Hard,Semifinals,Barty A.,Ostapenko J.,37,10,1450,3781,2017
Hard,Semifinals,Garcia C.,Sakkari M.,20,80,2175,769,2017
Hard,2nd Round,Radwanska A.,Zhang S.,11,26,3250,1805,2017
Hard,3rd Round,Halep S.,Sharapova M.,2,104,5645,605,2017
Hard,3rd Round,Kasatkina D.,Radwanska A.,34,11,1595,3250,2017
Hard,1st Round,Wang Q.,Chang K.C.,48,125,1115,485,2017
Hard,2nd Round,Brady J.,Zhang S.,70,31,882,1655,2017
Hard,1st Round,Kuzmova V.,Friedsam A.L.,142,412,408,100,2017
Hard,2nd Round,Buzarnescu M.,Tomljanovic A.,105,177,605,316,2017
Hard,The Final,Strycova B.,Rybarikova M.,26,28,1845,1773,2017
Hard,1st Round,Duan Y.Y.,Tsurenko L.,93,47,683,1125,2017
Hard,1st Round,Mchale C.,Hibino N.,65,92,920,684,2017
Hard,1st Round,Hsieh S.W.,Lu J.J,96,275,663,189,2017
Hard,2nd Round,Peng S.,Wang X.,25,1001,1915,9,2017
Hard,Quarterfinals,Sabalenka A.,Zhu L.,102,113,614,540,2017
Hard,2nd Round,Broady N.,Lisicki S.,129,262,454,199,2017
Hard,Quarterfinals,Parmentier P.,Larsson J.,101,79,641,761,2017
Hard,1st Round,Vikhlyantseva N.,Kanepi K.,67,109,905,553,2017
Hard,2nd Round,Tsurenko L.,Vandeweghe C.,50,14,1125,2819,2017
Hard,Round Robin,Pliskova Ka.,Muguruza G.,3,2,5105,5635,2017
Hard,Round Robin,Ostapenko J.,Pliskova Ka.,7,3,4510,5105,2017
Hard,Round Robin,Sevastova A.,Strycova B.,15,23,2295,1965,2017
Hard,Round Robin,Goerges J.,Mladenovic K.,18,10,2060,2885,2017
Hard,1st Round,Kenin S.,Fett J.,108,102,591,635,2018
Hard,1st Round,Townsend T.,Mchale C.,95,64,700,950,2018
Hard,1st Round,Hercog P.,Van Uytvanck A.,100,77,653,797,2018
Hard,2nd Round,Vickery S.,Cepede Royg V.,122,78,510,787,2018
Hard,1st Round,Krunic A.,Witthoeft C.,53,49,1051,1093,2018
Hard,1st Round,Sasnovich A.,Mladenovic K.,88,11,735,2935,2018
Hard,2nd Round,Svitolina E.,Konjuh A.,6,44,5500,1176,2018
Hard,1st Round,Wang Yaf.,Paolini J.,172,168,336,350,2018
Hard,1st Round,Babos T.,Wang Xiyu,55,587,1032,43,2018
Hard,Semifinals,Halep S.,Begu I.,1,43,6175,1194,2018
Hard,Semifinals,Siniakova K.,Sharapova M.,47,59,1100,1006,2018
Hard,1st Round,Vekic D.,Maria T.,55,46,1045,1125,2018
Hard,1st Round,Riske A.,Siniakova K.,89,59,725,1000,2018
Hard,2nd Round,Sabalenka A.,Zhang S.,69,35,885,1535,2018
Hard,1st Round,Cibulkova D.,Sevastova A.,26,15,1815,2600,2018
Hard,Quarterfinals,Giorgi C.,Radwanska A.,100,28,668,1715,2018
Hard,1st Round,Martic P.,Van Uytvanck A.,81,77,762,814,2018
Hard,1st Round,Rogowska O.,Fourlis J.,168,286,348,179,2018
Hard,1st Round,Fett J.,Eguchi M.,119,436,525,83,2018
Hard,1st Round,Safarova L.,Tomljanovic A.,29,107,1650,606,2018
Hard,1st Round,Kerber A.,Friedsam A.L.,16,388,2491,100,2018
Hard,1st Round,Sasnovich A.,Mchale C.,56,73,1052,870,2018
Hard,2nd Round,Kanepi K.,Puig M.,79,58,782,1025,2018
Hard,2nd Round,Strycova B.,Arruabarrena L.,24,87,1940,738,2018
Hard,2nd Round,Safarova L.,Cirstea S.,29,36,1650,1480,2018
Hard,2nd Round,Barty A.,Giorgi C.,17,71,2486,877,2018
Hard,3rd Round,Svitolina E.,Kostyuk M.,4,521,5785,58,2018
Hard,4th Round,Keys M.,Garcia C.,20,8,2214,4385,2018
Hard,2nd Round,Rybakina E.,Garcia C.,450,7,77,4495,2018
Hard,2nd Round,Kozlova K.,Duan Y.Y.,85,114,744,583,2018
Hard,1st Round,Stosur S.,Begu I.,44,37,1206,1345,2018
Hard,1st Round,Strycova B.,Krunic A.,25,47,1940,1111,2018
Hard,2nd Round,Sevastova A.,Osaka N.,15,51,2540,1041,2018
Hard,2nd Round,Cirstea S.,Mertens E.,38,20,1310,2215,2018
Hard,2nd Round,Kerber A.,Stosur S.,9,44,3031,1206,2018
Hard,Quarterfinals,Kuzmova V.,Martic P.,121,56,513,1002,2018
Hard,1st Round,Garcia C.,Safarova L.,7,30,4625,1601,2018
Hard,2nd Round,Muguruza G.,Bellis C.,3,41,6175,1275,2018
Hard,Quarterfinals,Kasatkina D.,Vesnina E.,24,23,2050,2115,2018
Clay,1st Round,Rodionova Ar.,Kozlova K.,130,62,465,922,2018
Clay,1st Round,Puig M.,Yastremska D.,80,166,785,350,2018
Clay,1st Round,Voegele S.,Maria T.,183,57,311,995,2018
Clay,1st Round,Zarazua R.,Pliskova Kr.,253,77,216,815,2018
Clay,1st Round,Peterson R.,Cornet A.,139,39,430,1280,2018
Clay,2nd Round,Cepede Royg V.,Begu I.,82,36,778,1345,2018
Clay,Quarterfinals,Tsurenko L.,Mladenovic K.,40,14,1260,2725,2018
Clay,Semifinals,Tsurenko L.,Gavrilova D.,40,26,1260,1820,2018
Hard,1st Round,Kenin S.,Liu C.,105,241,611,231,2018
Hard,3rd Round,Wozniacki C.,Sasnovich A.,2,49,7525,1094,2018
Hard,4th Round,Martic P.,Vondrousova M.,51,54,1062,1024,2018
Hard,4th Round,Williams V.,Sevastova A.,8,20,4277,2295,2018
Hard,1st Round,Sakkari M.,Krunic A.,52,49,1082,1120,2018
Hard,2nd Round,Radwanska A.,Van Uytvanck A.,32,51,1470,1086,2018
Hard,2nd Round,Niculescu M.,Rybarikova M.,70,18,841,2395,2018
Hard,2nd Round,Wang Y.,Suarez Navarro C.,125,23,502,1990,2018
Hard,2nd Round,Riske A.,Garcia C.,104,7,625,4625,2018
Hard,2nd Round,Azarenka V.,Keys M.,186,15,305,2593,2018
Hard,2nd Round,Svitolina E.,Osaka N.,4,22,5425,2105,2018
Hard,2nd Round,Gavrilova D.,Petkovic A.,26,111,1870,593,2018
Hard,2nd Round,Puig M.,Wozniacki C.,82,2,755,7430,2018
Hard,3rd Round,Kerber A.,Pavlyuchenkova A.,10,25,3150,1920,2018
Hard,3rd Round,Konta J.,Mertens E.,14,21,2875,2165,2018
Hard,3rd Round,Collins D.,Vekic D.,93,55,673,1025,2018
Hard,4th Round,Collins D.,Puig M.,93,82,673,755,2018
Hard,Semifinals,Ostapenko J.,Collins D.,5,93,4971,673,2018
Clay,1st Round,Hercog P.,Zanevska M.,83,166,746,355,2018
Clay,2nd Round,Kasatkina D.,Mchale C.,12,86,2940,718,2018
Clay,2nd Round,Vesnina E.,Townsend T.,42,118,1175,549,2018
Clay,3rd Round,Sevastova A.,Barty A.,16,18,2460,2283,2018
Hard,1st Round,Rybarikova M.,Ozaki R.,17,267,2350,197,2018
Hard,1st Round,Muguruza G.,Zarazua R.,3,228,5970,248,2018
Clay,1st Round,Schmiedlova A.,Falconi I.,132,165,476,362,2018
Clay,1st Round,Sorribes Tormo S.,Zhao C.,116,137,565,451,2018
Clay,1st Round,Kostova E.,Hibino N.,196,122,279,529,2018
Clay,2nd Round,Bogdan A.,Blinkova A.,76,115,794,566,2018
Clay,Quarterfinals,Schmiedlova A.,Arango E.,132,510,476,62,2018
Clay,Quarterfinals,Bogdan A.,Seguel D.,76,191,794,285,2018
Clay,1st Round,Giorgi C.,Pliskova Kr.,59,70,986,855,2018
Clay,1st Round,Flipkens K.,Witthoeft C.,74,57,806,1005,2018
Clay,1st Round,Kovinic D.,Golubic V.,124,107,515,603,2018
Clay,2nd Round,Flipkens K.,Sasnovich A.,74,49,806,1116,2018
Clay,Quarterfinals,Voegele S.,Korpatsch T.,119,176,549,337,2018
Clay,1st Round,Tomova V.,Ivakhnenko V.,165,172,367,353,2018
Clay,1st Round,Tomljanovic A.,Van Uytvanck A.,95,49,700,1116,2018
Clay,1st Round,Diyas Z.,Witthoeft C.,52,56,1075,993,2018
Clay,2nd Round,Kvitova P.,Vikhlyantseva N.,10,83,3271,764,2018
Clay,2nd Round,Siniakova K.,Alexandrova E.,51,102,1075,649,2018
Clay,Quarterfinals,Giorgi C.,Stosur S.,58,57,986,992,2018
Clay,Semifinals,Buzarnescu M.,Giorgi C.,37,58,1263,986,2018
Clay,Quarterfinals,Krunic A.,Badosa Gibert P.,52,212,1075,258,2018
Clay,The Final,Mertens E.,Tomljanovic A.,19,96,2270,701,2018
Clay,1st Round,Arruabarrena L.,Kostyuk M.,82,133,772,462,2018
Clay,1st Round,Stephens S.,Soler-Espinosa S.,9,217,3939,256,2018
Clay,2nd Round,Mladenovic K.,Zhang S.,22,28,2005,1550,2018
Clay,2nd Round,Sharapova M.,Begu I.,52,38,1073,1270,2018
Clay,The Final,Kvitova P.,Bertens K.,10,20,3550,2135,2018
Clay,1st Round,Hsieh S.W.,Sabalenka A.,50,45,1070,1143,2018
Clay,1st Round,Sakkari M.,Bertens K.,42,15,1187,2570,2018
Clay,1st Round,Kerber A.,Diyas Z.,12,54,2905,1046,2018
Clay,2nd Round,Kontaveit A.,Kuznetsova S.,26,39,1635,1238,2018
Clay,Quarterfinals,Halep S.,Garcia C.,1,7,7270,5080,2018
Clay,The Final,Svitolina E.,Halep S.,4,1,5505,7270,2018
Clay,1st Round,Bertens K.,Radanovic D.,18,293,2250,170,2018
Clay,2nd Round,Pliskova Kr.,Arruabarrena L.,70,95,845,717,2018
Clay,1st Round,Wang Q.,Rosatello C.,91,266,725,192,2018
Clay,1st Round,Babos T.,Ferro F.,37,256,1300,201,2018
Clay,1st Round,Pavlyuchenkova A.,Maria T.,31,64,1416,930,2018
Clay,1st Round,Strycova B.,Nara K.,26,96,1660,720,2018
Clay,1st Round,Diyas Z.,Linette M.,51,68,1095,865,2018
Clay,1st Round,Osaka N.,Kenin S.,20,95,2150,725,2018
Clay,1st Round,Sakkari M.,Minella M.,38,286,1274,175,2018
Clay,1st Round,Wozniacki C.,Collins D.,2,42,6935,1200,2018
Clay,1st Round,Begu I.,Schmiedlova A.,40,77,1245,782,2018
Clay,1st Round,Zhang S.,Kucova K.,27,260,1605,199,2018
Clay,1st Round,Goerges J.,Cibulkova D.,11,32,3090,1445,2018
Clay,2nd Round,Svitolina E.,Kuzmova V.,4,87,5505,751,2018
Clay,2nd Round,Parmentier P.,Cornet A.,74,34,814,1350,2018
Clay,2nd Round,Sakkari M.,Suarez Navarro C.,38,23,1274,1876,2018
Clay,2nd Round,Mertens E.,Watson H.,16,80,2525,776,2018
Clay,2nd Round,Sharapova M.,Vekic D.,30,50,1513,1120,2018
Clay,2nd Round,Bertens K.,Sasnovich A.,22,55,2030,1065,2018
Clay,3rd Round,Keys M.,Osaka N.,13,20,2826,2150,2018
Clay,3rd Round,Muguruza G.,Stosur S.,3,90,6010,747,2018
Clay,4th Round,Kasatkina D.,Wozniacki C.,14,2,2825,6935,2018
Grass,1st Round,Lottner A.,Blinkova A.,148,108,391,610,2018
Grass,1st Round,Flipkens K.,Kalinskaya A.,60,142,926,406,2018
Grass,1st Round,Mertens E.,Hercog P.,15,64,2635,901,2018
Grass,2nd Round,Vandeweghe C.,Rus A.,16,100,2593,647,2018
Grass,2nd Round,Sabalenka A.,Tomljanovic A.,46,71,1135,861,2018
Grass,Quarterfinals,Krunic A.,Kudermetova V.,55,170,1015,337,2018
Grass,1st Round,Osaka N.,Vickery S.,18,82,2270,787,2018
